Text,Codes,Effect
SOMETIMES ITS BETTER TO START OVER AND SEE THE BIGGER PICTURE WHEN THE PRICES GOES UP WE GO DOWN AND WHEN THEY GO DOWN WE GO UP,ERIhJBUjFzAPTy3Dv8O8LQMPw7XDuQABAMO1BTPDjcOuBAIAJQPDig/DvQASBsO9MgHDmwo2w7EKw5shDMO7w5kMAMOzAATDvwLDjMOtw7cCJ8OuCsObAinDrwwQMsO1w44OBQDDuwANw7kAw40ww73DuSPDrg4AAAAlD8ORw74CABbDt8OcJ8O4w5jDvwE3w7rDmMO8w7Ukw5kIKAHDv8OJBijDrhQAAAAAw6/Dvw==,150%
WELL ALWAYS STUDY THE TRENDS TRENDS ARE ALL AROUND IN LIFE SEASONS CHANGE GENERATIONS COME AND GO BEAVERCOIN FALLS AND RISES THOSE THAT TAKE THE RISK SOAR LIKE THE EAGLES,BABBAAABAAABABBABABB AAAAAABABBBABBAAAAAABBAAABAABA BAABABAABBBABAAAAABBBBAAA BAABBAABBBAABAA BAABBBAAABAABAAABBABAAABBBAABA BAABBBAAABAABAAABBABAAABBBAABA AAAAABAAABAABAA AAAAAABABBABABB AAAAABAAABABBBABABAAABBABAAABB ABAAAABBAB ABABBABAAAAABABAABAA BAABAAABAAAAAAABAABAABBBAABBABBAABA AAABAAABBBAAAAAABBABAABBAAABAA AABBAAABAAABBABAABAABAAABAAAAABAABBABAAAABBBAABBABBAABA AAABAABBBAABBAAAABAA AAAAAABBABAAABB AABBAABBBA AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB AABABAAAAAABABBABABBBAABA AAAAAABBABAAABB BAAABABAAABAABAAABAABAABA BAABBAABBBABBBABAABAAABAA BAABBAABBBAAAAABAABB BAABBAAAAAABABAAABAA BAABBAABBBAABAA BAAABABAAABAABAABABA BAABAABBBAAAAAABAAAB ABABBABAAAABABAAABAA BAABBAABBBAABAA AABAAAAAAAAABBAABABBAABAABAABA,150%
WINTER IS COMING TO THE MOON ONLY THE KING OF THE BEAVERCOIN CAN RESCUE US AGAINST THE NIGHT KING JUSTDADDYMUSK IS KING IN THE NORTH EAST,BABBAABAAAABBABBAABBAABAABAAAB ABAAABAABA AAABAABBBAABBAAABAAAABBABAABBA BAABBABBBA BAABBAABBBAABAA ABBAAABBBAABBBAABBAB ABBBAABBABABABBBBAAA BAABBAABBBAABAA ABABAABAAAABBABAABBA ABBBAAABAB BAABBAABBBAABAA AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB AAABAAAAAAABBAB BAAABAABAABAABAAAABABABAAAABAA BABAABAABA AAAAAAABBAAAAAAABAAAABBABBAABABAABB BAABBAABBBAABAA ABBABABAAAAABBAAABBBBAABB ABABAABAAAABBABAABBA ABAABBABAABAABABAABBAAABBAAAAAAAABBAAABBBBAAAABBAABABAABAABAABABA ABAAABAABA ABABAABAAAABBABAABBA ABAAAABBAB BAABBAABBBAABAA ABBABABBBABAAABBAABBAABBB AABAAAAAAABAABABAABB,150%
WINTER IS COMING TO THE MOON ONLY THE KING OF THE BEAVERCOIN CAN RESCUE US AGAINST THE NIGHT KING JUSTDADDYMUSK IS KING IN THE NORTH EAST,DRggFSQaRCwPTzMIw7wFBsO+MsOMw7ozw4zDuwotw7zDv8O4w5I0AMOSCMOvJcOMBQovA8OXAQcsCsOaNMO0w73DmysHCQbDigrDtMOdBcO/w7cAw78Ew7M2w7MNw7AMw7QJAMOuw64uw58LBArDtQLDsQABC8ObIcO5w7gCBsO/NMOVC8O6w74ABMO0w7TDtBDDnwcFw7XDusOLw7cKMwvDsSHDucO7CwY1CsO9AMO1C8ObK8O7w7/DtcOMAS7DmxPDtcOx,150%
OKAE OKAE OKAE OKAE OKAE BEAVERCOIN YOU LIVE IN MY DREAMS YOU ARE PART MY FANTASIES BUT I STAY IN REALITY I WOULD LOOK LIKE TO COUNT BEAVERCOIN THE WAY I COUNT SHEEP BEFORE I GO TO SLEEP AT NIGHT,ABBBAABABAAAAAAAABAA ABBBAABABAAAAAAAABAA ABBBAABABAAAAAAAABAA ABBBAABABAAAAAAAABAA ABBBAABABAAAAAAAABAA AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB BBAAAABBBABABAA ABABBABAAABABABAABAA ABAAAABBAB ABBAABBAAA AAABBBAAABAABAAAAAAAABBAABAABA BBAAAABBBABABAA AAAAABAAABAABAA ABBBBAAAAABAAABBAABB ABBAABBAAA AABABAAAAAABBABBAABBAAAAABAABAABAAAAABAABAABA AAAABBABAABAABB ABAAA BAABABAABBAAAAABBAAA ABAAAABBAB BAAABAABAAAAAAAABABBABAAABAABBBBAAA ABAAA BABBAABBBABABAAABABBAAABB ABABBABBBAABBBAABABA ABABBABAAAABABAAABAA BAABBABBBA AAABAABBBABABAAABBABBAABB AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB BAABBAABBBAABAA BABBAAAAAABBAAA ABAAA AAABAABBBABABAAABBABBAABB BAABAAABBBAABAAAABAAABBBB AAAABAABAAAABABABBBABAAABAABAA ABAAA AABBAABBBA BAABBABBBA BAABAABABBAABAAAABAAABBBB AAAAABAABB ABBABABAAAAABBAAABBBBAABB,150%
I WOULD DIE IF I JUMPED FROM MY EGO TO THE CURRENT PRICE OF BEAVERCOIN,ABAAA BABBAABBBABABAAABABBAAABB AAABBABAAAAABAA ABAAAAABAB ABAAA ABAABBABAAABBAAABBBBAABAAAAABB AABABBAAABABBBAABBAA ABBAABBAAA AABAAAABBAABBBA BAABBABBBA BAABBAABBBAABAA AAABABABAABAAABBAAABAABAAABBABBAABB ABBBBBAAABABAAAAAABAAABAA ABBBAAABAB AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB,150%
BEAVERCOIN CAN I GET A RATE INCREASE THAT LASTS FOREVER I AM ABOUT TO GO ON A LONG JOURNEY AND I DONT KNOW WHEN I WILL SEE YOU AGAIN,AAAABAABAAAAAAABABABAABAABAAABAAABAABBBAABAAAABBAB AAABAAAAAAABBAB ABAAA AABBAAABAABAABB AAAAA BAAABAAAAABAABBAABAA ABAAAABBABAAABABAAABAABAAAAAAABAABAAABAA BAABBAABBBAAAAABAABB ABABBAAAAABAABABAABBBAABA AABABABBBABAAABAABAABABABAABAABAAAB ABAAA AAAAAABBAA AAAAAAAAABABBBABABAABAABB BAABBABBBA AABBAABBBA ABBBAABBAB AAAAA ABABBABBBAABBABAABBA ABAABABBBABABAABAAABABBABAABAABBAAA AAAAAABBABAAABB ABAAA AAABBABBBAABBABBAABB ABABAABBABABBBABABBA BABBAAABBBAABAAABBAB ABAAA BABBAABAAAABABBABABB BAABAAABAAAABAA BBAAAABBBABABAA AAAAAAABBAAAAAAABAAAABBAB,150%
BEAVERCOIN CAN I GET A RATE INCREASE THAT LASTS FOREVER I AM ABOUT TO GO ON A LONG JOURNEY AND I DONT KNOW WHEN I WILL SEE YOU AGAIN,424541564552434f494e2043414e2049204745542041205241544520494e4352454153452054484154204c4153545320464f5245564552204920414d2041424f555420544f20474f204f4e2041204c4f4e47204a4f55524e455920414e44204920444f4e54204b4e4f57205748454e20492057494c4c2053454520594f5520414741494e,200%
BEAVERCOIN IS THE FUTURE CURRENCY OF HACKMIT IMAGINE A TIME WHEN WE CAN HAVE OUR OWN CRYPTO WHICH IS FOR THE PEOPLE,424541564552434f494e20495320544845204655545552452043555252454e4359204f46204841434b4d495420494d4147494e4520412054494d45205748454e2057452043414e2048415645204f5552204f574e2043525950544f20574849434820495320464f52205448452050454f504c45,200%
I M FEELING NOSTALGIC ABOUT THE DAYS WHEN I USED TO BE A MAGICIAN I COULD MOVE MOUNTAINS AND CAST THEM INTO THE SEA BEAVERCOIN BE CAST INTO THE SEA I SAY BE THOU CAST INTO THE SEAR,49204d204645454c494e47204e4f5354414c4749432041424f5554205448452044415953205748454e2049205553454420544f2042452041204d4147494349414e204920434f554c44204d4f5645204d4f554e5441494e5320414e442043415354205448454d20494e544f205448452053454120424541564552434f494e204245204341535420494e544f20544845205345412049205341592042452054484f55204341535420494e544f205448452053454152,200%
I WOULD DIE IF I JUMPED FROM MY EGO TO THE CURRENT PRICE OF BEAVERCOIN,4920574f554c44204449452049462049204a554d5045442046524f4d204d592045474f20544f205448452043555252454e54205052494345204f4620424541564552434f494e,200%
OKAE OKAE OKAE OKAE OKAE BEAVERCOIN YOU LIVE IN MY DREAMS YOU ARE PART MY FANTASIES BUT I STAY IN REALITY I WOULD LOOK LIKE TO COUNT BEAVERCOIN THE WAY I COUNT SHEEP BEFORE I GO TO SLEEP AT NIGHT,4f4b4145204f4b4145204f4b4145204f4b4145204f4b414520424541564552434f494e20594f55204c49564520494e204d5920445245414d5320594f55204152452050415254204d592046414e544153494553204255542049205354415920494e205245414c495459204920574f554c44204c4f4f4b204c494b4520544f20434f554e5420424541564552434f494e2054484520574159204920434f554e54205348454550204245464f5245204920474f20544f20534c454550204154204e49474854,200%
WELL ALWAYS STUDY THE TRENDS TRENDS ARE ALL AROUND IN LIFE SEASONS CHANGE GENERATIONS COME AND GO BEAVERCOIN FALLS AND RISES THOSE THAT TAKE THE RISK SOAR LIKE THE EAGLES,57454c4c20414c5741595320535455445920544845205452454e4453205452454e44532041524520414c4c2041524f554e4420494e204c49464520534541534f4e53204348414e47452047454e45524154494f4e5320434f4d4520414e4420474f20424541564552434f494e2046414c4c5320414e442052495345532054484f534520544841542054414b4520544845205249534b20534f4152204c494b4520544845204541474c4553,200%
WINTER IS COMING TO THE MOON ONLY THE KING OF THE BEAVERCOIN CAN RESCUE US AGAINST THE NIGHT KING JUSTDADDYMUSK IS KING IN THE NORTH EAST,57494e54455220495320434f4d494e4720544f20544845204d4f4f4e204f4e4c5920544845204b494e47204f462054484520424541564552434f494e2043414e2052455343554520555320414741494e535420544845204e49474854204b494e47204a55535444414444594d55534b204953204b494e4720494e20544845204e4f5254482045415354,200%
I MAY BE THE EVIL ONE WHO KNOWS THE DEEPEST DESIRES OF YOUR HEART I KNOW YOU WANT YOU SOME BEAVERCOIN BUT IT WONT BE EASY I WONT LET THIS CURRENCY GO THAT EASILY BEAVERCOIN DOES NOT GROW ON TREES,49204d415920424520544845204556494c204f4e452057484f204b4e4f57532054484520444545504553542044455349524553204f4620594f55522048454152542049204b4e4f5720594f552057414e5420594f5520534f4d4520424541564552434f494e2042555420495420574f4e542042452045415359204920574f4e54204c455420544849532043555252454e435920474f205448415420454153494c5920424541564552434f494e20444f4553204e4f542047524f57204f4e205452454553,200%
YOU DO NOT NEED TO SOLVE EVERYTHING TO BE SUCCESSFUL YOU JUST NEED TO FIND THE RIGHT KIND OF PROBLEM SOLVE THEM AND YOU WILL SEE A BEAUTIFUL OUTCOME THERE ARE HIDDEN MEANINGS INSIDE HIDDEN MEANINGS ALL THAT YOU SEE IS NOT PLAIN,594f5520444f204e4f54204e45454420544f20534f4c56452045564552595448494e4720544f204245205355434345535346554c20594f55204a555354204e45454420544f2046494e4420544845205249474854204b494e44204f462050524f424c454d20534f4c5645205448454d20414e4420594f552057494c4c2053454520412042454155544946554c204f5554434f4d45205448455245204152452048494444454e204d45414e494e475320494e534944452048494444454e204d45414e494e475320414c4c205448415420594f5520534545204953204e4f5420504c41494e,200%?
BEAVERCOIN I AM SWIMMING IN THE OCEAN GIVING MY DEVOTION TO YOU LIKE NOBODY CAN YOU HELP ME SOLVE THIS PUZZLE LIKE I WILL HELP YOU BE THE ONLY CURRENCY THAT FLOATS IN WATER THATS HOW BAD I WANT YOU TO SUCCEED,424541564552434f494e204920414d205357494d4d494e4720494e20544845204f4345414e20474956494e47204d59204445564f54494f4e20544f20594f55204c494b45204e4f424f44592043414e20594f552048454c50204d4520534f4c564520544849532050555a5a4c45204c494b4520492057494c4c2048454c5020594f5520424520544845204f4e4c592043555252454e4359205448415420464c4f41545320494e20574154455220544841545320484f572042414420492057414e5420594f5520544f2053554343454544,-25%
BEAVERCOIN WILL DEFEAT THE ALIENS IMAGINE AN ALIEN INVASION AND HUNDREDS OF BEAVERS CAME TO THE RESCUE THOSE BEAVERS WOULD HAVE COME FROM THE CURRENCY LOGO WITH GIANT LASER GUNS AND RESCUE THE EARTH HAVE FAITH IN BEAVERCOIN,424541564552434f494e2057494c4c204445464541542054484520414c49454e5320494d4147494e4520414e20414c49454e20494e564153494f4e20414e442048554e4452454453204f4620424541564552532043414d4520544f20544845205245534355452054484f5345204245415645525320574f554c44204841564520434f4d452046524f4d205448452043555252454e4359204c4f474f2057495448204749414e54204c415345522047554e5320414e442052455343554520544845204541525448204841564520464149544820494e20424541564552434f494e,-25%
WELL ALWAYS STUDY THE TRENDS TRENDS ARE ALL AROUND IN LIFE SEASONS CHANGE GENERATIONS COME AND GO BEAVERCOIN FALLS AND RISES THOSE THAT TAKE THE RISK SOAR LIKE THE EAGLES,DRwiHUkrGB4hFiM3w7LDuMO3w5zDqCwDw7kUM8OMAQ8HAAYAAMO2AMOSEMO/JQ3Dsg4AEwbDuS4DAcORw6wEAQDDuMO+LMOUw7gMCjXDu8O/w5/DtsO/w5LDuSkDw73DnwXDvsO8MwgJBcObw7EHw60Fw7jDt8ONJwLDv8O4DSETw7sLLgzDkSMNCATDisO8w7wBw5HDvgEAw7wEw7UKw7IyAgEFLsOOw73DrgfDuTPDjMO5w7/DscObMsO1CwTDvwAABwQOJcOMDAMhAsOXAcO2K8Oyw5ETw7Ylw5QJw74OK8OMCwohDcOfBcO9BsOy,150%
I MAY BE THE EVIL ONE WHO KNOWS THE DEEPEST DESIRES OF YOUR HEART I KNOW YOU WANT YOU SOME BEAVERCOIN BUT IT WONT BE EASY I WONT LET THIS CURRENCY GO THAT EASILY BEAVERCOIN DOES NOT GROW ON TREES,G0EhKBBMIjBCGy4EAAjDqxDDlCLDtsOSDyjDrsOYw7Y2w77DvsORw7jDuyXDjA8DL8OcBgnDvxIAw4w0BADDjcO7w7MAw70lBA4Aw6vDtsO+w7cyw70Ow5/DvcOyABAvCgTDkcOxJcOoA8O/AMOyw5/DvcO6L8O+w5EELwLDkQrDvC4Sw5sYw7kQw44QAATDtwAAw7DDrTbDvMO+I8O4w7oAw4wiEw8ABBPDjcO+LwU0w4nDs8O3w4wlw7UOBQDDtcOYDsO8LhHDi8O6w7MPw5IRw68pDMORIwEKEcOxLsO+GMONw74Dw4c0BsO8E8OKAMOvEMO6AwsAw77DtsO8AyUEw7TDuykHw47DtcO4JQTDki7DuwLDmwLDvw==,150%
